,cell_type,B220,CD11b,CD11c,CD3e,CD4,CD45,CD49b,CD8a,F480,Ly6C,Ly6G
0,B,1,0,0,0,0,1,0,0,0,0,0
1,CD4T,0,0,0,1,1,1,0,0,0,0,0
2,CD8T,0,0,0,1,0,1,0,1,0,0,0
3,PMN,0,1,0,0,0,1,0,0,0,1,1
4,Ly6CposCD8T,0,0,0,1,0,1,0,1,0,1,0
5,Precursor,0,0,0,0,0,1,0,0,0,0,0
6,NK,0,1,0,0,0,1,1,0,0,0,0
7,Mono,0,1,0,0,0,1,0,0,0,1,0
8,Ly6CposCD4T,0,0,0,1,1,1,0,0,0,1,0
9,Ly6CnegMono,0,1,0,0,0,1,0,0,0,0,0
10,DNT,0,0,0,1,0,1,0,0,0,0,0
11,Mac,0,1,0,0,0,1,0,0,1,0,0
12,Ly6CposMac,0,1,0,0,0,1,0,0,1,1,0
13,Ly6CposDNT,0,0,0,1,0,1,0,0,0,1,0
14,CD11bnegMono,0,0,0,0,0,1,0,0,0,1,0
15,LTi,0,0,0,0,1,1,0,0,0,0,0
16,B220posCD8T,1,0,0,1,0,1,0,1,0,0,0
17,Ly6CnegPMN,0,1,0,0,0,1,0,0,0,0,1
18,DC,0,1,1,0,0,1,0,0,1,1,0
19,F480posPMN,0,1,0,0,0,1,0,0,1,1,1
20,CD11bnegMac,0,0,0,0,0,1,0,0,1,0,0
21,Ly6CposEo,0,1,0,0,0,1,0,0,1,1,0
22,Ly6CposB,1,0,0,0,0,1,0,0,0,1,0
23,F480posLy6CnegPMN,0,1,0,0,0,1,0,0,1,0,1
24,Eo,0,1,0,0,0,1,0,0,1,0,0
25,ISPT,0,0,0,0,0,1,0,1,0,0,0
26,DPT,0,0,0,0,1,1,0,1,0,0,0
27,CD8aposB,1,0,0,0,0,1,0,1,0,0,0
28,F480posB,1,0,0,0,0,1,0,0,1,0,0
29,CD3eposDPT,0,0,0,1,1,1,0,1,0,0,0
